,x,y,z,dyn_prop,id,rcs,vx,vy,vx_comp,vy_comp,is_quality_valid,ambig_state,x_rms,y_rms,invalid_state,pdh0,vx_rms,vy_rms
0,3.200000047683716,-8.699999809265137,0.0,4,0,-1.0,0.0,0.0,0.8462682962417603,-2.3007922172546387,1,0,0,0,7,6,0,0
1,13.199999809265137,6.5,0.0,1,1,-4.5,-7.25,-0.25,-0.14469152688980103,-0.07124961912631989,1,3,19,19,0,1,16,3
2,8.800000190734863,12.100000381469727,0.0,1,2,5.5,-7.0,-0.25,-0.04331071302294731,-0.059552229940891266,1,3,20,20,16,1,18,3
3,13.600000381469727,-6.5,0.0,0,3,11.0,-2.0,0.0,4.205045223236084,-2.0097641944885254,1,3,19,19,0,1,16,3
4,10.0,11.699999809265137,0.0,1,4,-0.5,-7.0,-0.25,-0.03368827700614929,-0.039415281265974045,1,3,19,20,0,1,18,3
5,11.800000190734863,10.899999618530273,0.0,1,5,1.5,-7.25,-0.25,-0.14853456616401672,-0.13720564544200897,1,3,19,19,0,1,17,3
6,14.399999618530273,7.5,0.0,1,6,-1.5,-7.25,-0.25,-0.14636321365833282,-0.07623084634542465,1,3,19,19,0,1,16,3
7,16.799999237060547,4.900000095367432,0.0,1,7,14.5,-7.25,-0.25,-0.1247161403298378,-0.03637554496526718,1,3,19,19,0,1,16,3
8,18.799999237060547,4.300000190734863,0.0,1,8,-1.0,-7.25,-0.25,-0.11535370349884033,-0.02638409473001957,1,3,19,19,0,1,16,3
9,16.799999237060547,-10.699999809265137,0.0,1,9,11.5,-7.5,-0.25,-0.12785755097866058,0.08143308758735657,1,3,19,19,0,1,17,3
10,20.0,-2.299999952316284,0.0,1,10,12.0,-7.5,-0.25,-0.29142823815345764,0.033514246344566345,1,3,19,19,0,1,16,3
11,19.0,7.300000190734863,0.0,1,11,12.0,-7.25,-0.25,-0.13577358424663544,-0.05216563865542412,1,3,19,19,0,1,16,3
12,20.0,5.300000190734863,0.0,3,12,-2.0,-7.25,-0.25,-0.120928555727005,-0.03204606845974922,1,3,19,19,9,3,16,3
13,10.199999809265137,-18.700000762939453,0.0,4,13,15.0,0.0,0.0,1.6341830492019653,-2.996002435684204,1,0,0,0,7,6,0,0
14,20.0,7.5,0.0,1,14,-0.5,-7.25,-0.25,-0.13481801748275757,-0.05055675655603409,1,3,19,19,11,3,16,3
15,17.600000381469727,13.300000190734863,0.0,3,15,-1.0,-7.25,-0.25,-0.15153315663337708,-0.11451084911823273,1,3,20,20,0,1,17,3
16,22.200000762939453,2.5,0.0,0,16,9.0,-3.5,0.0,3.6363587379455566,0.4094998240470886,1,3,19,19,0,1,16,3
17,14.399999618530273,-18.700000762939453,0.0,2,17,5.0,-9.25,-0.25,-0.6637934446334839,0.8620095252990723,1,3,20,21,16,1,18,3
18,23.600000381469727,2.700000047683716,0.0,0,18,-1.0,-3.5,0.0,3.6349472999572754,0.4158626198768616,1,3,19,19,11,3,16,3
19,17.0,18.100000381469727,0.0,1,19,10.5,-6.75,-0.25,0.09069649130105972,0.09656508266925812,1,3,19,19,0,1,18,3
20,25.600000381469727,3.299999952316284,0.0,0,20,-4.0,-3.5,0.0,3.622741222381592,0.4669939875602722,1,0,20,19,6,6,16,3
21,25.200000762939453,5.699999809265137,0.0,1,21,7.5,-7.25,-0.5,-0.16874276101589203,-0.03816800191998482,1,3,19,19,0,1,16,3
22,20.399999618530273,16.5,0.0,1,22,3.0,-7.0,-0.25,0.00010068072151625529,8.143293962348253e-05,1,3,19,19,0,1,17,3
23,13.600000381469727,23.899999618530273,0.0,4,23,8.5,0.0,0.0,1.76833975315094,3.1075968742370605,1,0,0,0,7,6,0,0
24,25.799999237060547,10.300000190734863,0.0,1,24,-1.0,-7.25,-0.5,-0.22334881126880646,-0.08916638791561127,1,3,20,19,0,1,16,3
25,29.600000381469727,0.10000000149011612,0.0,1,25,4.0,-7.25,-0.5,-0.0723370909690857,-0.00024438207037746906,1,3,19,19,0,1,16,3
26,29.600000381469727,-8.699999809265137,0.0,0,26,25.5,-1.75,0.0,4.9897942543029785,-1.4665948152542114,1,3,19,19,0,1,16,3
27,31.600000381469727,-2.5,0.0,1,27,6.5,-7.25,-0.5,-0.033241573721170425,0.002629871480166912,1,3,19,19,0,1,16,3
28,30.600000381469727,-9.100000381469727,0.0,0,28,16.0,-1.75,0.0,4.980306148529053,-1.4810714721679688,1,3,19,19,11,3,16,3
29,32.79999923706055,1.100000023841858,0.0,3,29,5.5,-7.25,-0.5,-0.08645769208669662,-0.0028994958847761154,1,3,20,20,0,1,16,3
30,32.20000076293945,-9.5,0.0,0,30,27.5,-1.5,0.0,5.216740131378174,-1.539100170135498,1,3,19,19,0,1,16,3
31,33.79999923706055,-9.899999618530273,0.0,0,31,15.5,-1.5,0.0,5.222817420959473,-1.5297601222991943,1,3,19,19,0,1,16,3
32,35.79999923706055,2.299999952316284,0.0,1,32,-5.0,-7.25,-0.5,-0.10061617195606232,-0.0064641679637134075,1,3,20,20,9,3,16,3
33,30.399999618530273,-19.5,0.0,1,33,0.5,-7.5,-0.5,-0.013004585169255733,0.008341757580637932,1,3,19,19,0,1,17,3
34,27.799999237060547,23.299999237060547,0.0,1,34,5.0,-7.0,-0.5,-0.12678933143615723,-0.10626588761806488,1,3,20,20,0,1,17,3
35,35.400001525878906,-10.5,0.0,0,35,17.0,-1.5,0.0,5.212218761444092,-1.545996904373169,1,3,19,19,9,3,16,3
36,32.400001525878906,-20.100000381469727,0.0,1,36,-3.0,-7.5,-0.5,-0.020428713411092758,0.012673367746174335,1,3,20,20,9,3,17,3
37,38.20000076293945,-1.2999999523162842,0.0,0,37,0.0,-6.0,0.0,1.1769191026687622,-0.04005222022533417,1,3,19,19,0,1,16,3
38,36.79999923706055,-11.100000381469727,0.0,0,38,-2.0,-1.75,0.0,4.9685869216918945,-1.4986770153045654,1,3,20,20,11,3,16,3
